,first_language,funding,school,fast_track,coop,residency,gender,prev_education,age_group,english_grade,first_term_gpa,second_term_gpa,high_school_average_mark,math_score
404,3,4,6,2,2,2,2,2,3,8,3.020833,2.130435,77.6,34.0
405,1,2,6,2,1,1,1,2,3,4,2.409091,2.826087,73.0,27.0
406,1,2,6,2,1,1,2,1,3,9,3.35,4.5,71.0,21.0
407,1,2,6,2,1,1,2,1,2,7,0.795455,0.8887294099999997,74.0,23.0
408,1,2,6,2,2,1,2,2,2,9,3.23913,3.25,87.38,46.0
409,1,2,6,1,2,1,2,2,7,9,3.108696,2.6,78.15,31.44
410,3,4,6,2,2,2,2,1,1,8,4.285714,4.16,85.1,50.0
411,1,2,6,2,2,1,1,2,3,9,4.264706,4.166667,101.0,35.23
412,3,4,6,2,2,2,2,1,2,8,2.104167,2.958333,75.0,48.0
413,3,4,6,1,2,2,1,1,3,10,3.565217,1.86,84.72,41.63
414,1,2,6,2,1,1,1,1,3,4,2.090909,1.53125,61.0,19.0
415,1,2,6,2,1,1,1,1,2,9,0.0,0.08493452000000001,77.0,18.0
416,1,2,6,2,2,1,2,2,1,9,2.045455,2.04149821,86.0,28.0
417,3,2,6,2,2,1,2,2,6,9,4.166667,4.413043,87.69,45.97
418,1,2,6,2,2,1,1,0,3,9,2.047619,2.368421,73.46,29.0
419,1,1,6,2,1,1,2,1,1,9,3.130435,2.480769,79.0,28.0
420,3,4,6,2,2,2,2,1,2,4,2.525,3.388889,75.05,42.0
421,1,2,6,2,1,1,2,1,4,7,1.8714066200000012,1.42191387,64.97,20.0
422,1,2,6,2,1,1,2,1,1,9,2.227273,1.394737,78.0,25.73
423,3,2,6,2,2,1,2,2,6,7,3.325,3.375,73.3,29.0
424,3,2,6,2,1,1,2,0,3,4,3.854167,3.791667,92.0,48.0
425,3,4,6,1,2,2,1,2,3,8,2.44,2.788462,71.43,29.0
426,1,2,6,2,2,1,2,1,2,8,3.263158,2.565217,85.0,28.76
427,1,2,6,2,1,1,1,1,2,9,3.217391,3.272727,73.0,27.0
428,1,2,6,2,2,1,2,0,4,4,2.47619,1.681818,57.0,29.0
429,1,2,6,2,1,1,2,1,1,9,4.0,3.884615,96.0,45.0
430,1,2,6,2,2,1,1,2,3,9,4.309524,4.142857,93.0,40.76
431,1,2,6,2,2,1,2,2,7,8,3.833333,3.28,84.52,46.0
432,1,2,6,1,1,1,2,2,3,9,4.0,4.083333,95.0,36.14
433,3,2,6,2,2,1,2,1,2,8,2.545455,1.025,69.0,29.06
